STT,DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
591,11/13/2018,884.98,873.87,884.98,873.87,44.9
592,11/14/2018,874.07,871.55,880.65,868.63,53.3
593,11/15/2018,871.22,864.98,874.87,859.86,58.62
594,11/16/2018,865.03,869.24,874.94,863.89,42.87
595,11/19/2018,869.7,888.76,888.76,869.7,47.05
596,11/20/2018,886.36,893.09,893.09,883.8,53.84
597,11/21/2018,888.54,897.1,897.1,880.83,43.81
598,11/22/2018,897.28,898.9,900.77,896.18,50.22
599,11/23/2018,898.05,890.62,899.37,889.78,42.79
600,11/26/2018,889.88,895.05,896.12,886.76,43.47
601,11/27/2018,895.07,895.3,903.78,893.96,42.
602,11/28/2018,894.66,901.4,901.4,894.27,43.09
603,11/29/2018,901.48,897.58,910.48,897.58,45.42
604,11/30/2018,897.48,894.79,898.69,890.41,62.99
605,12/3/2018,896.5,921.72,921.72,896.5,71.85
606,12/4/2018,921.74,927.46,929.33,920.2,57.58
607,12/5/2018,927.39,925.68,928.9,915.9,69.81
608,12/6/2018,925.58,922.86,928.64,916.63,62.83
609,12/7/2018,923.9,929.59,933.29,923.9,57.94
610,12/10/2018,928.96,922.82,928.96,921.59,54.25
611,12/11/2018,922.58,922.34,925.43,915.68,49.28
612,12/12/2018,922.43,927.7,927.7,922.41,53.22
613,12/13/2018,928.21,928.9,935.33,927.92,55.02
614,12/14/2018,928.84,918.79,928.84,918.19,53.13
615,12/17/2018,914.97,901.41,914.97,901.33,112.07
616,12/18/2018,901.31,890.68,901.31,881.76,61.47
617,12/19/2018,890.78,882.79,891.69,877.63,62.76
618,12/20/2018,880.4,877.03,883.76,876.15,49.32
619,12/21/2018,877.02,873.09,877.02,866.09,59.51
620,12/24/2018,873.14,873.64,879.74,872.99,42.33
621,12/25/2018,873.56,865.69,873.56,850.33,76.74
622,12/26/2018,865.96,861.02,867.88,860.52,39.61
623,12/27/2018,861.53,865.45,872.73,861.53,48.75
624,12/28/2018,866.04,854.99,868.62,854.99,45.85
625,1/2/2019,855.01,855.66,864.64,852.79,37.2
626,1/3/2019,855.2,838.79,856.21,834.81,55.93
627,1/4/2019,836.6,840.17,842.05,821.83,41.71
628,1/7/2019,843.95,851.41,858.69,843.95,35.91
629,1/8/2019,851.2,845.43,852.92,841.86,33.31
630,1/9/2019,845.53,855.51,856.87,845.25,39.44
631,1/10/2019,855.39,857.95,859.93,852.96,37.73
632,1/11/2019,857.84,860.3,862.88,857.67,41.97
633,1/14/2019,860.4,859.42,860.4,854.71,39.17
634,1/15/2019,859.46,865.1,865.26,856.04,34.65
635,1/16/2019,865,864.29,868.41,861.18,44.18
636,1/17/2019,864.15,853.34,864.15,853.34,34.84
637,1/18/2019,854.58,854.79,859.95,853.5,66.67
638,1/21/2019,855,864.1,865.59,855,50.87
639,1/22/2019,864.45,859.17,865.92,859.09,37.81
640,1/23/2019,859.26,861.73,864.83,856.77,41.09
641,1/24/2019,861.63,865.52,866.49,861.04,41.76
642,1/25/2019,865.44,867.7,869.53,865.44,37.04
643,1/28/2019,867.6,868.76,871.56,865.9,29.71
644,1/29/2019,868.81,872.03,872.03,863.22,36.41
645,1/30/2019,872.01,869.16,872.01,867.92,40.37
646,1/31/2019,869.38,866.06,874.09,863.85,52.26
647,2/1/2019,866.01,859.81,868.15,859.38,59.94
648,2/11/2019,862.2,878.67,878.67,862.2,52.66
649,2/12/2019,878.69,888.33,890.16,878.68,70.59
650,2/13/2019,887.6,897.42,897.42,887.6,84.31
651,2/14/2019,897.88,900.12,904.11,897.3,67.27
652,2/15/2019,900.14,897.74,903.11,895.13,57.37
653,2/18/2019,899.75,904.93,904.93,899.74,53.77
654,2/19/2019,905.09,907.82,915.31,905.09,85.35
655,2/20/2019,907.31,911.8,913.51,906.64,60.72
656,2/21/2019,912.83,926.09,926.09,911.38,65.39
657,2/22/2019,926.3,929.5,934.65,920.78,78.22
658,2/25/2019,929.57,939.47,944.01,929.5,83.14
659,2/26/2019,939.56,929.51,941.45,922.93,68.95
660,2/27/2019,929.78,930.54,935.76,928.59,60.74
661,2/28/2019,930.37,904.98,930.81,904.98,82.02
662,3/1/2019,904.96,915.32,915.99,904.96,44.93
663,3/4/2019,915.39,928.42,929.28,915.39,62.29
664,3/5/2019,928.25,923.66,931.23,922.05,87.18
665,3/6/2019,923.71,923.58,926.32,916.89,41.45
666,3/7/2019,923.77,922.29,930.79,922.29,57.96
667,3/8/2019,922.16,914.74,922.16,913.39,55.06
668,3/11/2019,915,916.24,918.73,911.88,35.41
669,3/12/2019,919.21,929.86,929.86,919.21,72.48
670,3/13/2019,929.93,935.41,939.17,929.93,77.98
671,3/14/2019,935.72,934.42,937.82,931.33,64.94
